"date","year","monthnumber","month","mm_yyyy","daynumber","newcases","totalcases","newdeaths","totalvaccinations","peoplevaccinated","peoplefullyvaccinated","newvaccinations","numberofpassengers"
"2020-01-01","2020",1,"January","Jan-20",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2178656
"2020-01-02","2020",1,"January","Jan-20",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2422272
"2020-01-03","2020",1,"January","Jan-20",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2210542
"2020-01-04","2020",1,"January","Jan-20",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1806480
"2020-01-05","2020",1,"January","Jan-20",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1815040
"2020-01-06","2020",1,"January","Jan-20",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2034472
"2020-01-07","2020",1,"January","Jan-20",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2072543
"2020-01-08","2020",1,"January","Jan-20",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1687974
"2020-01-09","2020",1,"January","Jan-20",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2183734
"2020-01-10","2020",1,"January","Jan-20",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1992453
"2020-01-11","2020",1,"January","Jan-20",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1691205
"2020-01-12","2020",1,"January","Jan-20",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1876782
"2020-01-13","2020",1,"January","Jan-20",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2242656
"2020-01-14","2020",1,"January","Jan-20",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2347075
"2020-01-15","2020",1,"January","Jan-20",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1781893
"2020-01-16","2020",1,"January","Jan-20",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000260
"2020-01-17","2020",1,"January","Jan-20",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2298616
"2020-01-18","2020",1,"January","Jan-20",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1870459
"2020-01-19","2020",1,"January","Jan-20",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1801444
"2020-01-20","2020",1,"January","Jan-20",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2100401
"2020-01-21","2020",1,"January","Jan-20",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2145063
"2020-01-22","2020",1,"January","Jan-20",4,NULL,1,NULL,NULL,NULL,NULL,NULL,1645196
"2020-01-23","2020",1,"January","Jan-20",5,0,1,NULL,NULL,NULL,NULL,NULL,2136584
"2020-01-24","2020",1,"January","Jan-20",6,1,2,NULL,NULL,NULL,NULL,NULL,2004609
"2020-01-25","2020",1,"January","Jan-20",7,0,2,NULL,NULL,NULL,NULL,NULL,1643435
