Prediction,Actual
2250867.945352166,2327671
859281.9652352422,590749
972045.051124153,184027
2061348.3698165957,2064753
1932877.4535275009,1882381
1490202.1225049277,1455913
815777.3260579087,352947
1050253.141446471,1806480
1050253.2870675153,2271551
899905.2512997629,807695
2163674.294588723,1830246
1050253.141446471,2210542
1050253.141446471,2072543
1050253.141446471,1870459
906350.2847663455,1080346
1092927.6546791228,1278557
1998721.2054453653,1887350
1563063.2190180626,1541835
888333.3910844636,709653
1216859.4792792483,1345284
739487.2990424318,878048
1048588.8044970366,953699
1996294.1987507264,1669737
347572.6402962069,728978
476574.77936589334,123464
2113125.568584922,2271659
1489968.9640622598,1231419
2220683.4403103758,2395894
1904936.6526516504,1363653
1862452.6766972442,1959937
2105205.7422312675,1999087
1055438.6368802062,898735
1396955.2926528729,1896846
1772219.5300145345,2049604
1876354.0506208478,1975189
863881.0118294347,625822
1608582.9799290453,1959593
835894.8158909935,353016
486193.87240606267,665855
1978083.4994558147,1534114
812986.2788804845,595739
1050253.141446471,2183734
2238032.4899000647,1988843
844221.5393844913,964630
2099364.7287323093,2216218
489155.05800772447,1163696
1050018.1647571358,1736393
2172445.2769181966,2180940
1597332.8946795685,1502714
2174454.995375868,2279905
951254.1076524609,626516
1050253.3532588992,1949696
852374.2490073126,721060
898549.6475517605,608726
1019960.6393417025,239234
787019.7930926875,340769
1023573.8621067281,711178
1586240.2955567357,1942337
1050253.141446471,2347075
983224.5128427474,617619
994224.7114265778,500054
2197393.7572529106,2231804
2173758.6028929427,2258077
998918.7902206636,641761
1879007.946371973,1533398
959055.0668517991,809850
1680366.428868622,1271516
975623.8546800162,700043
842241.7993976425,649027
845407.5038928343,674633
1982141.503992965,2141429
1866419.2390877237,1624511
1740224.153694221,1979422
1896605.9415070144,1693518
1628054.455985876,1914374
1997094.289106388,2131678
924574.7648363772,560190
1825032.3820731752,1635546
1488088.06437756,1463672
1828078.9907430215,1728496
1801242.5191939645,1470840
954621.4021522601,502209
1563388.7391250872,1378237
840952.6333726991,570951
1305651.0459864545,1412500
1835463.973012703,1520251
1794304.442078181,2045301
1903536.9510612814,1685462
2037862.6081232275,2234353
1705285.6136053745,2089186
2108352.757328759,2107839
1945282.3174458798,1925641
2015905.8737985897,1566729
1050253.3267823455,2358511
2034478.2486417317,2097515
1141987.4062646234,1406234
675756.6574331118,97130
1050253.141446471,2100401
2146631.1609886577,2384721
2241641.304437058,1994151
2017969.6615639487,1399444
2228088.41029441,1913117
1049782.6843090365,1909363
1935054.4302499534,1952294
682089.8844862623,560902
403410.2305643816,846934
797469.7999137564,129763
1120637.187717007,917282
1050253.3267823455,2380359
562521.7424587271,641966
1950685.7767450772,1965020
1050253.0014168508,1877401
1554080.88905305,1549181
930331.5369296754,826329
1632678.567642787,1916499
1823415.7188061492,2098540
714143.5988381604,154695
1995420.9672001847,1487874
1787035.711107506,1815931
1907298.9054187199,1644052
1072109.5845478515,826924
981177.000064357,847968
553841.0714287654,87534
1592223.5527924038,1555773
862827.9799947308,978297
2159181.1888347804,2279743
1334912.5285669172,1373259
1958478.8422753832,2027364
971129.163180579,530421
2153984.156234001,2318977
884165.4070338088,934386
788261.1497114955,1059452
1609246.796200987,1563565
1735531.4609021307,2001439
952110.7463431575,180002
879713.5587783507,589285
1947825.3726773239,2168264
409787.30298173905,755028
432837.62794623093,771734
1936349.5891122564,2083627
1788989.4038920319,1716561
2107705.0415561697,1856872
1265709.4240334034,1409771
826452.8368832022,942238
565381.5302394097,99344
1050253.3267823455,1951535
1289933.404688879,1092548
614418.8184125373,163692
2215629.5479032407,1981408
1805353.3048824954,1984658
1460542.679095437,1571220
1745572.0149262373,1990608
1050253.141446471,2298616
933908.8519528464,788743
1901500.8786255647,2207949
1533641.6289009657,1232591
994539.8744506626,611497
2195887.8875466213,2182717
2198555.0411455138,2278197
1472936.090872092,1647089
1820824.2691462326,1607238
886647.0450905617,992167
544572.1963304292,105382
1050253.0874009565,2004609
1048840.3748118437,1714372
2233938.156169182,2293548
1757188.5319874666,1820355
1790201.0691364398,1390201
1953412.7399992666,1923980
1752644.4275271175,2046694
854651.2868919654,577847
500633.98325133964,134261
1036160.1686159445,522383
901461.4529400831,623624
1835707.6516345707,2017973
2198909.892646063,2009500
1575817.8485991969,1338166
1027451.091130996,1096348
1239212.5083558185,1444744
924056.7881902284,873636
896216.426041066,895091
1730309.3761314426,1682752
547965.0560652757,170254
1981069.6529173763,1942871
1828120.5413744,1650795
975334.1920037423,773319
1985530.9302261635,1979981
911395.6013592314,973020
1945740.5366398117,1630786
988000.621510077,540268
1013369.3584619327,732123
667526.6859328741,837137
932963.3720422015,857186
2010862.0859126847,2147736
2188191.347837388,2136427
1049078.700195579,2130015
1059016.0656069105,816838
989878.0294065194,1107534
2092878.1546201725,2152721
1637026.4219557936,1707805
1119210.3642216772,974221
1957124.1076473251,2177129
2045388.5989714917,1534080
676673.9749562772,244176
941202.6851788154,689630
450975.8973121323,662380
1274818.3732604415,1577790
650917.6733832447,253807
1800014.731769966,1863697
475890.0863240763,106385
832221.123563637,762547
2213014.9844858903,1877559
1050253.285975108,2353150
1863394.773914338,1616316
1934264.4022848965,2167380
1867815.6132517713,2025556
1056781.2481011779,738825
791616.5430131453,636533
1854963.7418895205,1550044
1505827.0343092424,1085034
1615930.4759045157,1449550
870097.3929529071,954782
1307337.2907540374,1535156
