Date,NumberOfPassengers
1/1/2019,2345103
1/2/2019,2202111
1/3/2019,2150571
1/4/2019,1975947
1/5/2019,2229391
1/6/2019,2044043
1/7/2019,1733739
1/8/2019,1739642
1/9/2019,1955200
1/10/2019,1959788
1/11/2019,1604862
1/12/2019,1970450
1/13/2019,1886642
1/14/2019,1605758
1/15/2019,1786012
1/16/2019,2139242
1/17/2019,2271398
1/18/2019,1600698
1/19/2019,1776235
1/20/2019,2179066
1/21/2019,1804629
1/22/2019,1763884
1/23/2019,1991328
1/24/2019,2052814
1/25/2019,1571077
1/26/2019,2010374
1/27/2019,1862420
1/28/2019,1534386
1/29/2019,1593697
1/30/2019,1938817
1/31/2019,2078169
2/1/2019,1591591
2/2/2019,1792677
2/3/2019,2001482
2/4/2019,1655868
2/5/2019,1756152
2/6/2019,2064640
2/7/2019,2134744
2/8/2019,1648328
2/9/2019,2105696
2/10/2019,2055827
2/11/2019,1620239
2/12/2019,1950385
2/13/2019,2227730
2/14/2019,1922613
2/15/2019,2147045
2/16/2019,2476445
2/17/2019,2177690
2/18/2019,2022861
2/19/2019,2351856
2/20/2019,2415570
2/21/2019,2331841
2/22/2019,2274217
2/23/2019,2197938
2/24/2019,2160322
2/25/2019,1861286
2/26/2019,2015079
2/27/2019,2307393
2/28/2019,2257920
3/1/2019,1979558
3/2/2019,2143619
3/3/2019,2402692
3/4/2019,2543689
3/5/2019,2156262
3/6/2019,2485430
3/7/2019,2378673
3/8/2019,2122898
3/9/2019,2187298
3/10/2019,2503924
3/11/2019,2634215
3/12/2019,2274658
3/13/2019,2545742
3/14/2019,2465709
3/15/2019,2177929
3/16/2019,2320885
3/17/2019,2513231
3/18/2019,2559307
3/19/2019,2227181
3/20/2019,2542643
3/21/2019,2434370
3/22/2019,2151913
3/23/2019,2273811
3/24/2019,2487162
3/25/2019,2538384
3/26/2019,2172920
3/27/2019,2510294
3/28/2019,2360053
3/29/2019,2026256
3/30/2019,2151626
3/31/2019,2411500
4/1/2019,2476884
4/2/2019,2011715
4/3/2019,2462929
4/4/2019,2384091
4/5/2019,2091056
4/6/2019,2229276
4/7/2019,2487398
4/8/2019,2590499
4/9/2019,2059142
4/10/2019,2446801
4/11/2019,2484580
4/12/2019,2208688
4/13/2019,2317381
4/14/2019,2616158
4/15/2019,2457133
4/16/2019,1988205
4/17/2019,2356802
4/18/2019,2594171
4/19/2019,2227475
4/20/2019,2254209
4/21/2019,2526961
4/22/2019,2521897
4/23/2019,1990464
4/24/2019,2506809
4/25/2019,2412770
4/26/2019,2102068
4/27/2019,2256442
4/28/2019,2499461
4/29/2019,2546029
4/30/2019,1968278
5/1/2019,2512598
5/2/2019,2470969
5/3/2019,2106597
5/4/2019,2270662
5/5/2019,2555342
5/6/2019,2602631
5/7/2019,1985942
5/8/2019,2419114
5/9/2019,2512315
5/10/2019,2191387
5/11/2019,2343675
5/12/2019,2611324
5/13/2019,2664549
5/14/2019,2091116
5/15/2019,2620276
5/16/2019,2615691
5/17/2019,2312727
5/18/2019,2472123
5/19/2019,2673635
5/20/2019,2792670
5/21/2019,2124825
5/22/2019,2070716
5/23/2019,2512237
5/24/2019,2453649
5/25/2019,2269035
5/26/2019,2485770
5/27/2019,2570613
5/28/2019,2117180
5/29/2019,2555578
5/30/2019,2499002
5/31/2019,2247421
6/1/2019,2370152
6/2/2019,2623947
6/3/2019,2649808
6/4/2019,2225952
6/5/2019,2669860
6/6/2019,2644981
6/7/2019,2433189
6/8/2019,2509058
6/9/2019,2675686
6/10/2019,2727860
6/11/2019,2318946
6/12/2019,2390205
6/13/2019,2642083
6/14/2019,2699580
6/15/2019,2466574
6/16/2019,2552395
6/17/2019,2728786
6/18/2019,2772903
6/19/2019,2378559
6/20/2019,2719643
6/21/2019,2716428
6/22/2019,2506510
6/23/2019,2594661
6/24/2019,2711222
6/25/2019,2730515
6/26/2019,2368846
6/27/2019,2632030
6/28/2019,2455536
6/29/2019,2347767
6/30/2019,2547889
